Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,CL10A106MP8NNNC,C85713_C0603,158.52,-106.67,90.0,top
C2,CL10A106MP8NNNC,C85713_C0603,135.44,-106.68,-90.0,top
CGQ1,TCRT5000L,XDCR_TCRT5000L,221.631342,-93.00403,90.0,bottom
CGQ10,TCRT5000L,XDCR_TCRT5000L,154.131342,-93.00403,90.0,bottom
CGQ11,TCRT5000L,XDCR_TCRT5000L,146.631342,-93.00403,90.0,bottom
CGQ12,TCRT5000L,XDCR_TCRT5000L,139.131342,-93.00403,90.0,bottom
CGQ13,TCRT5000L,XDCR_TCRT5000L,131.631342,-93.00403,90.0,bottom
CGQ14,TCRT5000L,XDCR_TCRT5000L,124.131342,-93.00403,90.0,bottom
CGQ15,TCRT5000L,XDCR_TCRT5000L,116.631342,-93.00403,90.0,bottom
CGQ16,TCRT5000L,XDCR_TCRT5000L,109.131342,-93.00403,90.0,bottom
CGQ17,TCRT5000L,XDCR_TCRT5000L,101.631342,-93.00403,90.0,bottom
CGQ18,TCRT5000L,XDCR_TCRT5000L,94.131342,-93.00403,90.0,bottom
CGQ19,TCRT5000L,XDCR_TCRT5000L,86.631342,-93.00403,90.0,bottom
CGQ2,TCRT5000L,XDCR_TCRT5000L,214.131342,-93.00403,90.0,bottom
CGQ20,TCRT5000L,XDCR_TCRT5000L,79.131342,-93.00403,90.0,bottom
CGQ3,TCRT5000L,XDCR_TCRT5000L,206.631342,-93.00403,90.0,bottom
CGQ4,TCRT5000L,XDCR_TCRT5000L,199.131342,-93.00403,90.0,bottom
CGQ5,TCRT5000L,XDCR_TCRT5000L,191.631342,-93.00403,90.0,bottom
CGQ6,TCRT5000L,XDCR_TCRT5000L,184.131342,-93.00403,90.0,bottom
CGQ7,TCRT5000L,XDCR_TCRT5000L,176.631342,-93.00403,90.0,bottom
CGQ8,TCRT5000L,XDCR_TCRT5000L,169.131342,-93.00403,90.0,bottom
CGQ9,TCRT5000L,XDCR_TCRT5000L,161.631342,-93.00403,90.0,bottom
P1,FPC 0.5mm 24P H2.0mm,AFC07S24ECC00,146.88,-108.92,0.0,top
R1,RC0603FR-07220RL,C107696_R0603,220.106318,-99.69403,-90.0,top
R10,RC0603FR-0710KL,C98220_R0603,193.596318,-99.70403,-90.0,top
R11,RC0603FR-07220RL,C107696_R0603,182.466318,-99.76403,-90.0,top
R12,RC0603FR-0710KL,C98220_R0603,185.736318,-99.73403,-90.0,top
R13,RC0603FR-07220RL,C107696_R0603,175.046318,-99.67403,-90.0,top
R14,RC0603FR-0710KL,C98220_R0603,178.226318,-99.65403,-90.0,top
R15,RC0603FR-07220RL,C107696_R0603,167.676318,-99.76403,-90.0,top
R16,RC0603FR-0710KL,C98220_R0603,170.836318,-99.76403,-90.0,top
R17,RC0603FR-07220RL,C107696_R0603,160.066318,-99.64403,-90.0,top
R18,RC0603FR-0710KL,C98220_R0603,163.326318,-99.64403,-90.0,top
R19,RC0603FR-07220RL,C107696_R0603,152.576318,-99.69403,-90.0,top
R2,RC0603FR-0710KL,C98220_R0603,223.336318,-99.65403,-90.0,top
R20,RC0603FR-0710KL,C98220_R0603,155.736318,-99.69403,-90.0,top
R21,RC0603FR-07220RL,C107696_R0603,144.986318,-99.69403,-90.0,top
R22,RC0603FR-0710KL,C98220_R0603,148.116318,-99.70403,-90.0,top
R23,RC0603FR-07220RL,C107696_R0603,137.466318,-99.69403,-90.0,top
R24,RC0603FR-0710KL,C98220_R0603,140.716318,-99.67403,-90.0,top
R25,RC0603FR-07220RL,C107696_R0603,130.126318,-99.67403,-90.0,top
R26,RC0603FR-0710KL,C98220_R0603,133.206318,-99.67403,-90.0,top
R27,RC0603FR-07220RL,C107696_R0603,122.516318,-99.63403,-90.0,top
R28,RC0603FR-0710KL,C98220_R0603,125.766318,-99.63403,-90.0,top
R29,RC0603FR-07220RL,C107696_R0603,115.006318,-99.61403,-90.0,top
R3,RC0603FR-07220RL,C107696_R0603,212.506318,-99.74403,-90.0,top
R30,RC0603FR-0710KL,C98220_R0603,118.246318,-99.61403,-90.0,top
R31,RC0603FR-07220RL,C107696_R0603,107.526318,-99.66403,-90.0,top
R32,RC0603FR-0710KL,C98220_R0603,110.706318,-99.66403,-90.0,top
R33,RC0603FR-07220RL,C107696_R0603,100.056318,-99.64403,-90.0,top
R34,RC0603FR-0710KL,C98220_R0603,103.266318,-99.64403,-90.0,top
R35,RC0603FR-07220RL,C107696_R0603,92.556318,-99.67403,-90.0,top
R36,RC0603FR-0710KL,C98220_R0603,95.746318,-99.66403,-90.0,top
R37,RC0603FR-07220RL,C107696_R0603,84.944223,-99.672645,-90.0,top
R38,RC0603FR-0710KL,C98220_R0603,88.216318,-99.66403,-90.0,top
R39,RC0603FR-07220RL,C107696_R0603,77.466318,-99.65403,-90.0,top
R4,RC0603FR-0710KL,C98220_R0603,215.776318,-99.72403,-90.0,top
R40,RC0603FR-0710KL,C98220_R0603,80.736318,-99.65403,-90.0,top
R5,RC0603FR-07220RL,C107696_R0603,204.916318,-99.68403,-90.0,top
R6,RC0603FR-0710KL,C98220_R0603,208.406318,-99.68403,-90.0,top
R7,RC0603FR-07220RL,C107696_R0603,197.506318,-99.78403,-90.0,top
R8,RC0603FR-0710KL,C98220_R0603,200.706318,-99.78403,-90.0,top
R9,RC0603FR-07220RL,C107696_R0603,189.986318,-99.70403,-90.0,top
